Titulo Principal,Titulo Secundario,Autor,N° Ref
Frankenstein,The Modern Prometheus,Mary Wollstonecraft Shelley,6614
Pride and Prejudice,,Jane Austen,2936
Romeo and Juliet,,William Shakespeare,2733
Moby Dick,The Whale,"Dick; Or, The Whale by Herman Melville",2655
The Scarlet Letter,,Nathaniel Hawthorne,2341
Alice's Adventures in Wonderland,,Lewis Carroll,1944
A Room with a View,,E. M.  Forster,1880
Middlemarch,,George Eliot,1848
The Complete Works of William Shakespeare,,William Shakespeare,1844
Little Women,"Meg, Jo, Beth, and Amy",Louisa May Alcott,1783
The Blue Castle: a novel,,L. M.  Montgomery,1637
The Enchanted April,,Elizabeth Von Arnim,1612
A Doll's House : a play,,Henrik Ibsen,1554
Cranford,,Elizabeth Cleghorn Gaskell,1509
The Adventures of Ferdinand Count Fathom — Complete,,T.  Smollett,1502
The Legend of Sleepy Hollow,,Washington Irving,1482
The Expedition of Humphry Clinker,,T.  Smollett,1479
"History of Tom Jones, a Foundling",,Henry Fielding,1464
The Adventures of Roderick Random,,T.  Smollett,1457
The Picture of Dorian Gray,,Oscar Wilde,1453
My Life — Volume 1,,Richard Wagner,1446
Twenty years after,,Alexandre Dumas and Auguste Maquet,1439
The Yellow Wallpaper,,Charlotte Perkins Gilman,1322
Dracula,,Bram Stoker,1320
The Great Gatsby,,by F. Scott  Fitzgerald,1301
Metamorphosis,,Franz Kafka,1225
Adventures of Huckleberry Finn,,Mark Twain,1216
A Modest Proposal,,Jonathan Swift,1204
The Importance of Being Earnest: A Trivial Comedy for Serious People,,Oscar Wilde,1149
The Strange Case of Dr. Jekyll and Mr. Hyde,,Robert Louis Stevenson,1104
呻吟語,,Kun Lü,862
Crime and Punishment,,Fyodor Dostoyevsky,859
A Tale of Two Cities,,Charles Dickens,852
Leviathan,,Thomas Hobbes,802
The Adventures of Sherlock Holmes,,Arthur Conan Doyle,799
The Prince,,Niccolò Machiavelli,788
A Christmas Carol in Prose; Being a Ghost Story of Christmas,,Charles Dickens,787
Great Expectations,,Charles Dickens,758
The Souls of Black Folk,,W. E. B.  Du Bois,738
Jane Eyre: An Autobiography,,Charlotte Brontë,735
Thus Spake Zarathustra: A Book for All and None,,Friedrich Wilhelm Nietzsche,727
The Iliad,,Homer,723
Grimms' Fairy Tales,,Jacob Grimm and Wilhelm Grimm,709
The Brothers Karamazov,,Fyodor Dostoyevsky,700
The Odyssey,,Homer,693
Second Treatise of Government,,John Locke,686
Beowulf: An Anglo-Saxon Epic Poem,,,670
Ulysses,,James Joyce,647
"The Adventures of Tom Sawyer, Complete",,Mark Twain,628
The Pursuit of God,,A. W.  Tozer,625
Heart of Darkness,,Joseph Conrad,616
Don Quijote,,Miguel de Cervantes Saavedra,614
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African","Gustavus Vassa, The African",Equiano,611
The Confessions of St. Augustine,,Bishop of Hippo Saint Augustine,604
The Works of Edgar Allan Poe — Volume 2,,Edgar Allan Poe,597
Doctrina Christiana,,,579
Beyond Good and Evil,,Friedrich Wilhelm Nietzsche,568
Wuthering Heights,,Emily Brontë,567
The Wolf-slayer; [Margaret Kaurner],,Christoph von Schmid,565
The boys of Columbia High on the ice :,,Graham B. Forbes,563
"Walden, and On The Duty Of Civil Disobedience",,Henry David Thoreau,550
"Narrative of the Life of Frederick Douglass, an American Slave",,Frederick Douglass,547
War and Peace,,graf Leo Tolstoy,540
Frankenstein,The Modern Prometheus,Mary Wollstonecraft Shelley,534
Du côté de chez Swann,,Marcel Proust,532
Anne of Green Gables,,L. M.  Montgomery,511
Dubliners,,James Joyce,510
Tractatus Logico-Philosophicus,,Ludwig Wittgenstein,500
The Tragical History of Doctor Faustus,,Christopher Marlowe,490
Tropical Africa,,Henry Drummond,490
White Nights and Other Stories,,Fyodor Dostoyevsky,482
Saddle room songs and hunting ballads,,Frederick C. Palmer,481
The Count of Monte Cristo,,Alexandre Dumas and Auguste Maquet,472
The Republic,,Plato,472
The King in Yellow,,Robert W.  Chambers,471
The Hound of the Baskervilles,,Arthur Conan Doyle,466
On Liberty,,John Stuart Mill,466
Plays,,Susan Glaspell,462
Frankenstein,The Modern Prometheus,Mary Wollstonecraft Shelley,461
A Study in Scarlet,,Arthur Conan Doyle,457
Le Morte d'Arthur: Volume 1,,Sir Thomas Malory,455
Don Quixote,,Miguel de Cervantes Saavedra,454
Gulliver's Travels into Several Remote Nations of the World,,Jonathan Swift,446
The Kama Sutra of Vatsyayana,,Vatsyayana,435
Calculus Made Easy,,Silvanus P.  Thompson,432
Little Women,,Louisa May Alcott,428
George Bernard Shaw :,,Archibald Henderson,426
Carmilla,,Joseph Sheridan Le Fanu,424
