Titulo Principal,Titulo Secundario,Autor,N° Ref
Frankenstein,The Modern Prometheus,Mary Wollstonecraft Shelley,6676
Pride and Prejudice,,Jane Austen,2961
Moby Dick,The Whale,"Dick; Or, The Whale by Herman Melville",2753
Romeo and Juliet,,William Shakespeare,2648
The Scarlet Letter,,Nathaniel Hawthorne,2429
Alice's Adventures in Wonderland,,Lewis Carroll,1983
Middlemarch,,George Eliot,1929
A Room with a View,,E. M.  Forster,1861
The Complete Works of William Shakespeare,,William Shakespeare,1838
Little Women,"Meg, Jo, Beth, and Amy",Louisa May Alcott,1710
A Doll's House : a play,,Henrik Ibsen,1646
The Blue Castle: a novel,,L. M.  Montgomery,1598
The Enchanted April,,Elizabeth Von Arnim,1591
The Legend of Sleepy Hollow,,Washington Irving,1511
Cranford,,Elizabeth Cleghorn Gaskell,1473
The Expedition of Humphry Clinker,,T.  Smollett,1461
The Adventures of Ferdinand Count Fathom — Complete,,T.  Smollett,1448
"History of Tom Jones, a Foundling",,Henry Fielding,1440
The Adventures of Roderick Random,,T.  Smollett,1423
Twenty years after,,Alexandre Dumas and Auguste Maquet,1402
My Life — Volume 1,,Richard Wagner,1398
The Great Gatsby,,by F. Scott  Fitzgerald,1366
Dracula,,Bram Stoker,1345
Metamorphosis,,Franz Kafka,1268
The Picture of Dorian Gray,,Oscar Wilde,1263
Adventures of Huckleberry Finn,,Mark Twain,1219
The Yellow Wallpaper,,Charlotte Perkins Gilman,1177
The Strange Case of Dr. Jekyll and Mr. Hyde,,Robert Louis Stevenson,1171
The Importance of Being Earnest: A Trivial Comedy for Serious People,,Oscar Wilde,1076
A Modest Proposal,,Jonathan Swift,1040
A Tale of Two Cities,,Charles Dickens,1035
The Wolf-slayer; Margaret Kaurner,,Christoph von Schmid,976
Great Expectations,,Charles Dickens,956
A Christmas Carol in Prose; Being a Ghost Story of Christmas,,Charles Dickens,923
The Souls of Black Folk,,W. E. B.  Du Bois,912
Beowulf: An Anglo-Saxon Epic Poem,,,872
Crime and Punishment,,Fyodor Dostoyevsky,832
Leviathan,,Thomas Hobbes,827
Wood-folk comedies :,,William J.  Long,769
Jane Eyre: An Autobiography,,Charlotte Brontë,744
Second Treatise of Government,,John Locke,740
The Adventures of Sherlock Holmes,,Arthur Conan Doyle,730
The Iliad,,Homer,728
Ulysses,,James Joyce,728
"The Adventures of Tom Sawyer, Complete",,Mark Twain,728
The Odyssey,,Homer,723
Thus Spake Zarathustra: A Book for All and None,,Friedrich Wilhelm Nietzsche,717
Wuthering Heights,,Emily Brontë,708
Grimms' Fairy Tales,,Jacob Grimm and Wilhelm Grimm,705
The Brothers Karamazov,,Fyodor Dostoyevsky,671
Heart of Darkness,,Joseph Conrad,665
When freemen shall stand,,Nelson S. Bond,663
Don Quijote,,Miguel de Cervantes Saavedra,661
The Prince,,Niccolò Machiavelli,657
Heavens and Earth :,,Stephen Vincent Benét,624
"Narrative of the Life of Frederick Douglass, an American Slave",,Frederick Douglass,620
Left with a trust,,Nellie Hellis,615
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African","Gustavus Vassa, The African",Equiano,594
War and Peace,,graf Leo Tolstoy,591
The Count of Monte Cristo,,Alexandre Dumas and Auguste Maquet,587
The Works of Edgar Allan Poe — Volume 2,,Edgar Allan Poe,585
The Confessions of St. Augustine,,Bishop of Hippo Saint Augustine,577
Tractatus Logico-Philosophicus,,Ludwig Wittgenstein,564
Dubliners,,James Joyce,562
Beyond Good and Evil,,Friedrich Wilhelm Nietzsche,554
The Earliest Arithmetics in English,,,550
"Walden, and On The Duty Of Civil Disobedience",,Henry David Thoreau,544
Frankenstein,The Modern Prometheus,Mary Wollstonecraft Shelley,522
The Republic,,Plato,521
White Nights and Other Stories,,Fyodor Dostoyevsky,505
Calculus Made Easy,,Silvanus P.  Thompson,491
A Study in Scarlet,,Arthur Conan Doyle,491
Carmilla,,Joseph Sheridan Le Fanu,489
Du côté de chez Swann,,Marcel Proust,483
On Liberty,,John Stuart Mill,480
Don Quixote,,Miguel de Cervantes Saavedra,478
Frankenstein,The Modern Prometheus,Mary Wollstonecraft Shelley,476
Little Women,,Louisa May Alcott,472
Doctrina Christiana,,,468
Anne of Green Gables,,L. M.  Montgomery,467
The King in Yellow,,Robert W.  Chambers,467
The Devil is an Ass,,Ben Jonson,464
The Kama Sutra of Vatsyayana,,Vatsyayana,463
Le Morte d'Arthur: Volume 1,,Sir Thomas Malory,460
Cyclopedia of illustrations for public speakers :,,,459
呻吟語,,Kun Lü,438
Oliver Twist,,Charles Dickens,434
The divine comedy,,Dante Alighieri,433
Plays,,Susan Glaspell,433
The Hound of the Baskervilles,,Arthur Conan Doyle,433
David Copperfield,,Charles Dickens,422
The Romance of Lust: A classic Victorian erotic novel,,Anonymous,417
The Tragical History of Doctor Faustus,,Christopher Marlowe,394
Oedipus King of Thebes,,Sophocles,393
A Christmas Carol,,Charles Dickens,392
The Life and Adventures of Robinson Crusoe,,Daniel Defoe,386
"Spenser's The Faerie Queene, Book I",,Edmund Spenser,383
Filiations,,Jacques Bainville,382
Winnie-the-Pooh,,A. A.  Milne,381
"An Essay Concerning Humane Understanding, Volume 1",,John Locke,377
The History of the Peloponnesian War,,Thucydides,374
Tropical Africa,,Henry Drummond,366
Autobiography of Benjamin Franklin,,Benjamin Franklin,365
The Wonderful Wizard of Oz,,L. Frank  Baum,362
